UBLIVE-台灣頻道,#genre#
民視,http://45.11.92.170/play/smart/xziptv.php?id=26
民視,http://45.11.92.170/play/smart/xziptv.php?id=336
台視,http://45.11.92.170/play/smart/xziptv.php?id=27
台視,http://45.11.92.170/play/smart/xziptv.php?id=326
中視,http://45.11.92.170/play/smart/xziptv.php?id=28
中視,http://45.11.92.170/play/smart/xziptv.php?id=333
華視,http://45.11.92.170/play/smart/xziptv.php?id=32
華視,http://45.11.92.170/play/smart/xziptv.php?id=327
公視,http://45.11.92.170/play/smart/xziptv.php?id=86
公視,http://45.11.92.170/play/smart/xziptv.php?id=361
幸福空間居家,http://45.11.92.170/play/smart/xziptv.php?id=61
好消息,http://45.11.92.170/play/smart/xziptv.php?id=104
原住民電視,http://45.11.92.170/play/smart/xziptv.php?id=95
客家電視,http://45.11.92.170/play/smart/xziptv.php?id=76
緯來綜合,http://45.11.92.170/play/smart/xziptv.php?id=340
八大第一,http://45.11.92.170/play/smart/xziptv.php?id=318
八大綜合,http://45.11.92.170/play/smart/xziptv.php?id=325
八大綜合,http://45.11.92.170/play/smart/xziptv.php?id=2286
東風衛視,http://45.11.92.170/play/smart/xziptv.php?id=2152
三立臺灣,http://45.11.92.170/play/smart/xziptv.php?id=21
三立臺灣,http://45.11.92.170/play/smart/xziptv.php?id=35
三立都會,http://45.11.92.170/play/smart/xziptv.php?id=38
三立都會,http://45.11.92.170/play/smart/xziptv.php?id=1001
衛視中文,http://45.11.92.170/play/smart/xziptv.php?id=342
東森綜合,http://45.11.92.170/play/smart/xziptv.php?id=372
東森綜合,http://45.11.92.170/play/smart/xziptv.php?id=2279
東森超視,http://45.11.92.170/play/smart/xziptv.php?id=80
東森購物2,http://45.11.92.170/play/smart/xziptv.php?id=1156
中天綜合,http://45.11.92.170/play/smart/xziptv.php?id=54
中天綜合,http://45.11.92.170/play/smart/xziptv.php?id=2277
中天娛樂,http://45.11.92.170/play/smart/xziptv.php?id=324
TVBS歡樂,http://45.11.92.170/play/smart/xziptv.php?id=40
八大精彩,http://45.11.92.170/play/smart/xziptv.php?id=1024
JET綜合,http://45.11.92.170/play/smart/xziptv.php?id=41
東森購物1,http://45.11.92.170/play/smart/xziptv.php?id=1155
TVBS綜合,http://45.11.92.170/play/smart/xziptv.php?id=16
緯來育樂,http://45.11.92.170/play/smart/xziptv.php?id=338
緯來育樂,http://45.11.92.170/play/smart/xziptv.php?id=312
緯來日本,http://45.11.92.170/play/smart/xziptv.php?id=337
緯來日本,http://45.11.92.170/play/smart/xziptv.php?id=46
國興衛視,http://45.11.92.170/play/smart/xziptv.php?id=65
信吉電視,http://45.11.92.170/play/smart/xziptv.php?id=422
壹電視綜合,http://45.11.92.170/play/smart/xziptv.php?id=305
八大娱乐,http://45.11.92.170/play/smart/xziptv.php?id=105
公視3台,http://45.11.92.170/play/smart/xziptv.php?id=1340
好消息2,http://45.11.92.170/play/smart/xziptv.php?id=363
高點綜合,http://45.11.92.170/play/smart/xziptv.php?id=99
中天亞洲,http://45.11.92.170/play/smart/xziptv.php?id=322
民視綜藝,http://45.11.92.170/play/smart/xziptv.php?id=98
民視綜藝,http://45.11.92.170/play/smart/xziptv.php?id=2278
民視第一台,http://45.11.92.170/play/smart/xziptv.php?id=34
民視第一台,http://45.11.92.170/play/smart/xziptv.php?id=2276
民視台灣,http://45.11.92.170/play/smart/xziptv.php?id=36
公視台語,http://45.11.92.170/play/smart/xziptv.php?id=58
龍華偶像,http://45.11.92.170/play/smart/xziptv.php?id=347
